Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2000-11-14,Borat Subsequent Moviefilm 4,A compelling story about discovery.,48.008458,19451,8.2,ja,"Romance, Music",https://image.tmdb.org/t/p/original/14006.jpg
1994-07-13,Babylon,A compelling story about family.,5.989156,29413,6.0,ja,"History, Action, Comedy",https://image.tmdb.org/t/p/original/24293.jpg
2019-09-09,Rocketman,A compelling story about adventure.,21.725116,5200,6.7,en,"Adventure, Horror",https://image.tmdb.org/t/p/original/31709.jpg
1990-11-24,Nope,A compelling story about justice.,7.470932,15314,5.7,en,"Horror, Action",https://image.tmdb.org/t/p/original/11317.jpg
1997-11-18,Titanic,A compelling story about love.,14.682218,7007,5.1,hi,Music,https://image.tmdb.org/t/p/original/75413.jpg
2007-11-11,"I, Tonya 5",A compelling story about discovery.,15.824476,27299,4.1,en,"War, Thriller",https://image.tmdb.org/t/p/original/39308.jpg
1997-05-14,The Boy and the Heron,A compelling story about love.,4.087772,12030,7.1,en,Adventure,https://image.tmdb.org/t/p/original/12951.jpg
2000-08-01,Doctor Strange in the Multiverse of Madness 2,A compelling story about justice.,69.856143,4757,6.7,en,"Horror, Adventure, Crime",https://image.tmdb.org/t/p/original/81294.jpg
2006-09-25,Cold War,A compelling story about war.,29.844908,9296,6.3,en,"Science Fiction, Action, Fantasy",https://image.tmdb.org/t/p/original/20194.jpg
2001-09-04,Anatomy of a Fall,A compelling story about survival.,56.101888,55,4.8,es,"Drama, Mystery",https://image.tmdb.org/t/p/original/59242.jpg
2009-11-17,Avengers: Endgame,A compelling story about justice.,45.04304,29752,7.9,en,"Animation, Comedy, TV Movie",https://image.tmdb.org/t/p/original/36246.jpg
2002-03-12,Aftersun 4,A compelling story about war.,18.221088,7768,6.3,en,TV Movie,https://image.tmdb.org/t/p/original/47870.jpg
2000-09-25,The Avengers 3,A compelling story about war.,50.988708,26031,7.0,en,"Fantasy, TV Movie",https://image.tmdb.org/t/p/original/75639.jpg
2023-01-20,Ex Machina 5,A compelling story about love.,1.853109,26782,6.2,zh,"Drama, Mystery, Crime",https://image.tmdb.org/t/p/original/24992.jpg
2010-08-01,Knives Out,A compelling story about family.,4.362694,23447,4.9,ko,"Western, Romance",https://image.tmdb.org/t/p/original/20852.jpg
1997-06-27,Spotlight 4,A compelling story about war.,0.925639,19595,7.4,ja,Romance,https://image.tmdb.org/t/p/original/12753.jpg
2009-04-02,Soul,A compelling story about adventure.,7.870642,465,6.7,es,"Drama, Mystery, Science Fiction",https://image.tmdb.org/t/p/original/54442.jpg
2005-10-03,Braveheart,A compelling story about discovery.,9.842606,9864,6.0,en,"Thriller, Animation, Science Fiction",https://image.tmdb.org/t/p/original/12669.jpg
1995-12-16,Black Panther: Wakanda Forever,A compelling story about survival.,6.331209,19318,6.7,zh,"Science Fiction, Horror, Documentary",https://image.tmdb.org/t/p/original/27631.jpg
1994-09-25,Spider-Man: No Way Home 2,A compelling story about love.,35.291157,24192,7.2,ja,"Romance, History, Documentary",https://image.tmdb.org/t/p/original/70623.jpg
1998-03-22,Broker 2,A compelling story about discovery.,8.82454,17359,7.0,ja,"Mystery, Comedy, Music",https://image.tmdb.org/t/p/original/31917.jpg
2020-09-06,The Lighthouse,A compelling story about justice.,6.596057,21358,4.1,en,"War, Science Fiction",https://image.tmdb.org/t/p/original/53315.jpg
2006-09-28,Everything Everywhere All at Once 3,A compelling story about war.,15.648142,1538,4.4,en,"War, Animation, Fantasy",https://image.tmdb.org/t/p/original/94811.jpg
2017-04-18,Roma,A compelling story about friendship.,3.037963,2986,7.1,es,Crime,https://image.tmdb.org/t/p/original/67457.jpg
2002-12-10,The Zone of Interest,A compelling story about friendship.,32.409672,19465,5.4,en,"Horror, Documentary",https://image.tmdb.org/t/p/original/69868.jpg
2015-11-21,Barbie,A compelling story about justice.,1.549517,13298,4.9,en,"Thriller, Adventure",https://image.tmdb.org/t/p/original/32604.jpg
2013-08-17,Nyad,A compelling story about adventure.,86.682927,21263,6.6,fr,"Adventure, War",https://image.tmdb.org/t/p/original/66821.jpg
2018-02-08,Moonlight,A compelling story about adventure.,29.589676,6397,4.9,en,"Horror, Western",https://image.tmdb.org/t/p/original/20933.jpg
2004-02-11,Call Me by Your Name 4,A compelling story about war.,4.430789,2531,5.6,ja,Horror,https://image.tmdb.org/t/p/original/89239.jpg
1991-10-18,Riders of Justice,A compelling story about adventure.,0.110748,6535,7.2,en,"Documentary, Fantasy",https://image.tmdb.org/t/p/original/51711.jpg
2004-10-08,Broker 3,A compelling story about adventure.,33.797936,1136,4.4,es,"War, Animation",https://image.tmdb.org/t/p/original/79668.jpg
1990-02-23,Pain and Glory,A compelling story about discovery.,24.541918,23026,4.6,en,"War, Western, Mystery",https://image.tmdb.org/t/p/original/50545.jpg
1993-04-03,I'm Thinking of Ending Things 5,A compelling story about adventure.,26.113258,13358,4.3,hi,"TV Movie, Music",https://image.tmdb.org/t/p/original/41771.jpg
1992-06-03,Fight Club 3,A compelling story about love.,29.504291,22167,5.2,en,Comedy,https://image.tmdb.org/t/p/original/60730.jpg
2022-04-09,The Revenant,A compelling story about war.,1.538585,7726,6.3,ja,Western,https://image.tmdb.org/t/p/original/24729.jpg
2021-04-18,Shang-Chi,A compelling story about justice.,8.877853,16112,5.5,en,Western,https://image.tmdb.org/t/p/original/31269.jpg
1998-12-19,Bodies Bodies Bodies,A compelling story about love.,2.463002,3414,8.0,en,TV Movie,https://image.tmdb.org/t/p/original/75044.jpg
2020-04-26,The Lighthouse,A compelling story about friendship.,39.770591,4502,6.7,en,"Adventure, Science Fiction",https://image.tmdb.org/t/p/original/34921.jpg
2020-07-07,Drive My Car,A compelling story about family.,19.526024,2353,6.2,zh,"Animation, History",https://image.tmdb.org/t/p/original/55927.jpg
1996-02-22,Nomadland,A compelling story about friendship.,8.036376,116,7.7,en,Action,https://image.tmdb.org/t/p/original/83570.jpg
2017-06-14,Promising Young Woman,A compelling story about love.,1.313361,15205,4.6,en,Family,https://image.tmdb.org/t/p/original/56940.jpg
2016-08-28,Ferrari,A compelling story about war.,7.449767,13251,7.2,en,"War, History",https://image.tmdb.org/t/p/original/81390.jpg
1993-11-21,The Holdovers,A compelling story about love.,7.866284,27163,5.9,en,War,https://image.tmdb.org/t/p/original/96117.jpg
1996-01-13,Men,A compelling story about survival.,26.157516,19548,5.7,hi,"Documentary, War, Animation",https://image.tmdb.org/t/p/original/29208.jpg
2011-02-08,The Two Popes,A compelling story about adventure.,20.297787,29615,6.9,en,"Action, History",https://image.tmdb.org/t/p/original/48022.jpg
2002-04-18,The Banshees of Inisherin,A compelling story about justice.,43.645038,12585,5.7,de,"Documentary, History",https://image.tmdb.org/t/p/original/35535.jpg
2018-03-14,Ahed's Knee 5,A compelling story about justice.,12.781323,20447,6.4,en,"War, Romance",https://image.tmdb.org/t/p/original/49073.jpg
2001-05-15,Parasite 4,A compelling story about discovery.,2.547448,4811,6.1,en,"Drama, Music, Science Fiction",https://image.tmdb.org/t/p/original/78873.jpg
2005-02-15,No Time to Die,A compelling story about adventure.,24.982527,22533,6.6,en,Drama,https://image.tmdb.org/t/p/original/30032.jpg
1996-01-21,David Byrne's American Utopia,A compelling story about friendship.,28.607855,5590,5.6,en,"Documentary, Thriller",https://image.tmdb.org/t/p/original/28700.jpg
1990-02-25,Tár 5,A compelling story about discovery.,16.47775,16608,7.3,en,Family,https://image.tmdb.org/t/p/original/78782.jpg
2005-03-14,Call Me by Your Name 3,A compelling story about justice.,29.477799,5410,3.7,en,TV Movie,https://image.tmdb.org/t/p/original/10941.jpg
2021-08-07,The Dark Knight 5,A compelling story about adventure.,13.616295,6885,7.0,ja,"Western, Action, Family",https://image.tmdb.org/t/p/original/76785.jpg
2015-01-06,Carol,A compelling story about adventure.,14.793577,29025,3.9,en,"Horror, History",https://image.tmdb.org/t/p/original/53499.jpg
2014-01-13,Fallen Leaves,A compelling story about justice.,11.156284,20683,5.3,en,"Mystery, TV Movie",https://image.tmdb.org/t/p/original/68707.jpg
2006-08-10,The Quiet Girl,A compelling story about discovery.,0.514955,20647,6.8,en,"Family, Documentary",https://image.tmdb.org/t/p/original/59899.jpg
2017-12-24,Babylon 5,A compelling story about family.,2.283349,8666,3.8,en,Adventure,https://image.tmdb.org/t/p/original/32093.jpg
2021-03-07,The Silence of the Lambs,A compelling story about survival.,0.638674,6257,6.4,en,"Horror, History, Mystery",https://image.tmdb.org/t/p/original/96727.jpg
2008-04-02,Spotlight,A compelling story about discovery.,20.234591,6187,4.6,en,"Romance, Comedy, Thriller",https://image.tmdb.org/t/p/original/37677.jpg
1993-12-11,One Night in Miami,A compelling story about discovery.,7.547934,7279,5.0,ko,"Drama, Adventure",https://image.tmdb.org/t/p/original/60447.jpg
1993-01-19,Midsommar 5,A compelling story about friendship.,14.208744,14984,5.0,zh,"Western, Action",https://image.tmdb.org/t/p/original/32391.jpg
2020-09-28,1917,A compelling story about war.,47.625311,14047,4.6,ja,"Animation, TV Movie, Fantasy",https://image.tmdb.org/t/p/original/41077.jpg
2023-03-02,Return to Seoul 5,A compelling story about love.,5.734776,18766,4.1,en,"Science Fiction, Romance",https://image.tmdb.org/t/p/original/85506.jpg
2022-02-28,Portrait of a Lady on Fire,A compelling story about justice.,10.565639,16177,8.7,en,Science Fiction,https://image.tmdb.org/t/p/original/20803.jpg
2001-02-20,Saltburn,A compelling story about love.,28.174983,23228,6.0,pt,Western,https://image.tmdb.org/t/p/original/63727.jpg
1994-11-28,Preparations to Be Together,A compelling story about adventure.,5.196103,25177,4.7,de,"Comedy, Animation",https://image.tmdb.org/t/p/original/23822.jpg
2005-07-04,Hell or High Water,A compelling story about justice.,1.602086,10390,5.5,en,Drama,https://image.tmdb.org/t/p/original/42767.jpg
2005-10-20,Supernova,A compelling story about love.,6.842806,6627,6.2,en,"Music, Mystery, Documentary",https://image.tmdb.org/t/p/original/54425.jpg
1992-10-03,Inception,A compelling story about survival.,3.516167,21544,5.7,en,"Thriller, Mystery",https://image.tmdb.org/t/p/original/10258.jpg
2016-11-19,Shang-Chi,A compelling story about family.,53.099002,25469,4.7,fr,Animation,https://image.tmdb.org/t/p/original/28713.jpg
2023-06-09,Black Widow 5,A compelling story about family.,33.017742,24496,5.1,zh,Adventure,https://image.tmdb.org/t/p/original/50693.jpg
2003-11-23,Showing Up,A compelling story about love.,20.069884,20552,7.6,en,TV Movie,https://image.tmdb.org/t/p/original/79902.jpg
2010-04-09,Spotlight,A compelling story about friendship.,41.030395,24121,4.5,en,Music,https://image.tmdb.org/t/p/original/96852.jpg
2015-03-22,The Godfather,A compelling story about adventure.,32.559379,21600,3.8,en,"Western, Horror",https://image.tmdb.org/t/p/original/55019.jpg
2009-08-11,News of the World,A compelling story about survival.,4.12991,313,5.7,en,"Action, Western",https://image.tmdb.org/t/p/original/51619.jpg
1994-01-15,Cold War,A compelling story about war.,44.616268,29766,3.9,en,Fantasy,https://image.tmdb.org/t/p/original/33156.jpg
1996-02-18,Carol,A compelling story about friendship.,15.501998,12693,5.1,es,"Fantasy, Animation",https://image.tmdb.org/t/p/original/54123.jpg
2003-09-09,Cold War 4,A compelling story about discovery.,32.946966,16727,4.7,en,"Romance, Mystery",https://image.tmdb.org/t/p/original/61241.jpg
1998-06-03,Forrest Gump 5,A compelling story about love.,45.284853,11035,4.7,de,"Family, Adventure, Music",https://image.tmdb.org/t/p/original/77389.jpg
2005-06-10,Knives Out,A compelling story about adventure.,7.654614,20900,6.3,en,"Science Fiction, Documentary, Thriller",https://image.tmdb.org/t/p/original/68476.jpg
2000-08-27,Fallen Leaves 3,A compelling story about war.,2.331843,18725,6.5,fr,"Romance, Crime",https://image.tmdb.org/t/p/original/92242.jpg
2009-10-26,Phantom Thread,A compelling story about adventure.,5.173735,4571,5.2,fr,Action,https://image.tmdb.org/t/p/original/16762.jpg
2023-01-22,Spider-Man: No Way Home 2,A compelling story about justice.,11.141154,89,6.1,en,Comedy,https://image.tmdb.org/t/p/original/78860.jpg
2009-11-04,No Time to Die 4,A compelling story about family.,34.076595,3773,5.2,fr,"Horror, War",https://image.tmdb.org/t/p/original/80233.jpg
1998-05-04,Corsage,A compelling story about discovery.,39.426899,27417,6.7,en,"Documentary, War, Drama",https://image.tmdb.org/t/p/original/15278.jpg
1996-12-18,Frozen 5,A compelling story about family.,0.139528,21590,4.4,en,"Action, Horror, Drama",https://image.tmdb.org/t/p/original/61363.jpg
1999-05-10,Spider-Man: Into the Spider-Verse 5,A compelling story about love.,14.297523,10179,6.4,en,"Action, Comedy",https://image.tmdb.org/t/p/original/37073.jpg
2003-12-11,Call Me by Your Name,A compelling story about justice.,10.805466,17126,6.5,en,"Family, Thriller, Mystery",https://image.tmdb.org/t/p/original/55867.jpg
2003-11-21,Bardo,A compelling story about family.,5.023347,3986,9.0,it,"Action, Science Fiction, Documentary",https://image.tmdb.org/t/p/original/72851.jpg
2006-09-16,Marriage Story,A compelling story about friendship.,2.553608,26403,4.1,en,Drama,https://image.tmdb.org/t/p/original/28634.jpg
2006-01-03,Downsizing,A compelling story about survival.,8.238172,22053,9.4,de,Fantasy,https://image.tmdb.org/t/p/original/85925.jpg
2017-05-02,Borat Subsequent Moviefilm,A compelling story about love.,57.262422,17778,7.1,zh,"Drama, Crime, Family",https://image.tmdb.org/t/p/original/76002.jpg
1990-06-25,Toy Story 4 4,A compelling story about discovery.,7.807676,2134,8.4,en,"Science Fiction, Thriller, Music",https://image.tmdb.org/t/p/original/92242.jpg
1998-11-09,Ferrari,A compelling story about war.,14.629056,6662,7.3,en,"Thriller, Western",https://image.tmdb.org/t/p/original/88359.jpg
2000-12-15,Saint Omer 3,A compelling story about adventure.,24.28174,5293,5.1,en,"Fantasy, Mystery, War",https://image.tmdb.org/t/p/original/82013.jpg
2017-09-01,Joker 4,A compelling story about survival.,9.03949,7186,7.0,en,"Horror, Drama, Documentary",https://image.tmdb.org/t/p/original/29284.jpg
1997-02-23,The Boy and the Heron,A compelling story about family.,71.355963,25784,5.4,en,"Comedy, History",https://image.tmdb.org/t/p/original/15677.jpg
1999-09-02,Marriage Story,A compelling story about love.,65.640197,22999,6.1,es,"History, Crime, Romance",https://image.tmdb.org/t/p/original/55272.jpg
2013-10-18,The Avengers,A compelling story about adventure.,5.801226,22101,4.8,en,"War, TV Movie, Adventure",https://image.tmdb.org/t/p/original/49994.jpg
1999-07-05,Supernova,A compelling story about war.,13.753186,18686,5.4,de,"Science Fiction, Music",https://image.tmdb.org/t/p/original/22253.jpg
1992-05-12,Corsage,A compelling story about justice.,7.158609,12419,7.3,en,"History, Romance",https://image.tmdb.org/t/p/original/41366.jpg
1992-06-07,All Quiet on the Western Front,A compelling story about love.,6.704994,24770,6.7,en,"TV Movie, Horror",https://image.tmdb.org/t/p/original/71323.jpg
2005-11-04,Compartment No. 6 5,A compelling story about discovery.,0.75169,12329,7.4,en,"Science Fiction, War, Music",https://image.tmdb.org/t/p/original/32546.jpg
2012-09-28,Bridge of Spies 4,A compelling story about war.,18.809841,1007,4.5,en,"History, Music",https://image.tmdb.org/t/p/original/81651.jpg
2016-10-24,Carol,A compelling story about love.,13.970393,26572,4.0,en,Western,https://image.tmdb.org/t/p/original/33323.jpg
1999-04-28,The Wolf of Wall Street,A compelling story about adventure.,1.057022,11011,7.5,fr,Fantasy,https://image.tmdb.org/t/p/original/90622.jpg
2000-03-14,Nomadland,A compelling story about adventure.,6.532518,4674,7.4,de,Science Fiction,https://image.tmdb.org/t/p/original/22649.jpg
1991-03-24,Shang-Chi,A compelling story about war.,47.777219,18751,6.5,en,"Family, Fantasy, Mystery",https://image.tmdb.org/t/p/original/33178.jpg
2011-07-26,Midsommar 5,A compelling story about adventure.,5.477211,21885,6.7,es,"Crime, War, Music",https://image.tmdb.org/t/p/original/67476.jpg
2005-05-06,Darkest Hour,A compelling story about love.,3.130617,18073,7.2,en,Mystery,https://image.tmdb.org/t/p/original/20953.jpg
1996-07-28,Origin,A compelling story about family.,13.445442,13127,6.4,en,"Crime, Documentary",https://image.tmdb.org/t/p/original/62363.jpg
1992-08-08,Killers of the Flower Moon,A compelling story about adventure.,84.88074,22109,6.8,ja,"TV Movie, Thriller, Drama",https://image.tmdb.org/t/p/original/47181.jpg
2002-08-12,Herself 2,A compelling story about discovery.,5.542896,11241,7.2,zh,"Comedy, Animation",https://image.tmdb.org/t/p/original/40399.jpg
2009-04-08,Babylon,A compelling story about love.,22.3031,29761,6.1,ja,"Science Fiction, Thriller, TV Movie",https://image.tmdb.org/t/p/original/24494.jpg
1991-11-07,Crimes of the Future,A compelling story about justice.,28.677753,21280,5.8,en,"Family, Fantasy",https://image.tmdb.org/t/p/original/92301.jpg
2015-06-09,Bohemian Rhapsody,A compelling story about love.,5.426663,7450,6.7,pt,"Animation, Fantasy, History",https://image.tmdb.org/t/p/original/62735.jpg
1994-05-12,Sick of Myself,A compelling story about friendship.,26.054979,27097,8.9,de,"Thriller, Western, Science Fiction",https://image.tmdb.org/t/p/original/91336.jpg
2022-07-22,Weathering with You,A compelling story about war.,9.170456,23215,5.2,en,"Science Fiction, Romance",https://image.tmdb.org/t/p/original/53806.jpg
2011-01-04,Living 2,A compelling story about war.,20.010075,19921,5.7,hi,Western,https://image.tmdb.org/t/p/original/94280.jpg
2006-03-19,The Martian,A compelling story about discovery.,20.076757,11228,4.1,ja,"Animation, Action",https://image.tmdb.org/t/p/original/81900.jpg
2006-01-04,Supernova,A compelling story about discovery.,15.347705,23207,6.7,es,Animation,https://image.tmdb.org/t/p/original/17688.jpg
2017-06-24,American Fiction,A compelling story about discovery.,1.892583,15618,5.6,ja,"War, Science Fiction, Documentary",https://image.tmdb.org/t/p/original/17913.jpg
2010-07-20,The Irishman,A compelling story about adventure.,36.072896,19139,4.5,en,"Thriller, Romance",https://image.tmdb.org/t/p/original/63810.jpg
2022-02-13,Passages 3,A compelling story about family.,7.736206,29675,6.1,de,Romance,https://image.tmdb.org/t/p/original/78474.jpg
2002-05-02,American Beauty,A compelling story about war.,4.128642,28759,8.0,en,"War, TV Movie, Western",https://image.tmdb.org/t/p/original/44736.jpg
2017-01-17,Eternals,A compelling story about friendship.,0.832595,27167,5.8,pt,"Mystery, Science Fiction, History",https://image.tmdb.org/t/p/original/19760.jpg
2002-06-14,All of Us Strangers,A compelling story about adventure.,17.875568,28789,5.9,en,"Documentary, Action, Horror",https://image.tmdb.org/t/p/original/99721.jpg
1994-11-11,Black Widow,A compelling story about discovery.,22.637035,29978,7.9,ja,"Action, Horror, Thriller",https://image.tmdb.org/t/p/original/19994.jpg
2010-11-28,Happening 5,A compelling story about love.,0.334539,27397,6.2,en,"History, Mystery, Documentary",https://image.tmdb.org/t/p/original/66010.jpg
1997-12-10,Three Billboards Outside Ebbing Missouri 3,A compelling story about adventure.,14.352612,4100,4.8,it,Animation,https://image.tmdb.org/t/p/original/14476.jpg
2022-05-22,Frozen,A compelling story about love.,5.136483,22552,7.0,en,"Drama, Fantasy",https://image.tmdb.org/t/p/original/31573.jpg
2016-06-13,The Whale 5,A compelling story about discovery.,20.722487,24955,7.5,en,"Horror, Animation",https://image.tmdb.org/t/p/original/92472.jpg
2008-09-05,Hillbilly Elegy,A compelling story about friendship.,3.832084,7481,6.0,it,"Mystery, Horror, Comedy",https://image.tmdb.org/t/p/original/17108.jpg
2002-07-22,Never Rarely Sometimes Always,A compelling story about adventure.,23.484251,3753,6.4,en,"Family, Animation",https://image.tmdb.org/t/p/original/18257.jpg
2014-11-24,Saint Omer,A compelling story about war.,9.779174,10206,4.6,en,Animation,https://image.tmdb.org/t/p/original/32131.jpg
2001-10-19,Whiplash,A compelling story about survival.,55.206876,26289,5.2,en,"Animation, Family",https://image.tmdb.org/t/p/original/28978.jpg
2009-07-18,Forrest Gump,A compelling story about survival.,2.958888,7018,5.8,en,"TV Movie, Crime, Western",https://image.tmdb.org/t/p/original/23934.jpg
1990-05-10,Mank 3,A compelling story about family.,8.342649,3334,6.3,en,"Thriller, Adventure, Romance",https://image.tmdb.org/t/p/original/27920.jpg
2003-07-26,Phantom Thread,A compelling story about love.,2.408886,8642,5.5,en,"TV Movie, Romance, Horror",https://image.tmdb.org/t/p/original/56562.jpg
2010-08-15,Black Widow 3,A compelling story about discovery.,51.723808,19651,5.8,en,Fantasy,https://image.tmdb.org/t/p/original/80702.jpg
2018-11-07,The Quiet Girl,A compelling story about friendship.,41.966674,27492,6.1,ko,"Romance, Adventure",https://image.tmdb.org/t/p/original/50360.jpg
2022-08-26,The Teachers' Lounge,A compelling story about discovery.,5.966547,236,5.0,zh,Thriller,https://image.tmdb.org/t/p/original/74370.jpg
2000-11-03,The Father,A compelling story about discovery.,21.575255,14873,5.9,es,Music,https://image.tmdb.org/t/p/original/30024.jpg
2008-09-22,Showing Up 2,A compelling story about survival.,33.989681,16037,7.6,en,"Family, Romance, Science Fiction",https://image.tmdb.org/t/p/original/40987.jpg
2011-02-27,Babylon,A compelling story about friendship.,16.202647,18795,5.5,it,Comedy,https://image.tmdb.org/t/p/original/78629.jpg
2005-11-10,The Favourite,A compelling story about family.,15.085588,4728,5.1,en,"Horror, Music, Documentary",https://image.tmdb.org/t/p/original/70404.jpg
2004-04-05,The Florida Project,A compelling story about discovery.,5.537541,17418,8.7,it,Mystery,https://image.tmdb.org/t/p/original/50820.jpg
1991-01-08,The Trial of the Chicago 7,A compelling story about justice.,1.954523,5682,6.5,en,"Animation, Crime",https://image.tmdb.org/t/p/original/77496.jpg
