Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,vote_category
2001,Anatomy of a Fall,56.101888,55,4.8,Mystery,Poor
2009,Avengers: Endgame,45.04304,29752,7.9,Animation,Good
2009,Avengers: Endgame,45.04304,29752,7.9,Comedy,Good
2009,Avengers: Endgame,45.04304,29752,7.9,TV Movie,Good
2002,Aftersun 4,18.221088,7768,6.3,TV Movie,Average
2000,The Avengers 3,50.988708,26031,7.0,Fantasy,Good
2000,The Avengers 3,50.988708,26031,7.0,TV Movie,Good
2023,Ex Machina 5,1.853109,26782,6.2,Drama,Average
2023,Ex Machina 5,1.853109,26782,6.2,Mystery,Average
2023,Ex Machina 5,1.853109,26782,6.2,Crime,Average
2010,Knives Out,4.362694,23447,4.9,Western,Poor
2010,Knives Out,4.362694,23447,4.9,Romance,Poor
1997,Spotlight 4,0.925639,19595,7.4,Romance,Good
2009,Soul,7.870642,465,6.7,Drama,Average
2009,Soul,7.870642,465,6.7,Mystery,Average
2009,Soul,7.870642,465,6.7,Science Fiction,Average
2005,Braveheart,9.842606,9864,6.0,Thriller,Average
2005,Braveheart,9.842606,9864,6.0,Animation,Average
2005,Braveheart,9.842606,9864,6.0,Science Fiction,Average
1995,Black Panther: Wakanda Forever,6.331209,19318,6.7,Science Fiction,Average
1995,Black Panther: Wakanda Forever,6.331209,19318,6.7,Horror,Average
1995,Black Panther: Wakanda Forever,6.331209,19318,6.7,Documentary,Average
1994,Spider-Man: No Way Home 2,35.291157,24192,7.2,Romance,Good
1994,Spider-Man: No Way Home 2,35.291157,24192,7.2,History,Good
1994,Spider-Man: No Way Home 2,35.291157,24192,7.2,Documentary,Good
1998,Broker 2,8.82454,17359,7.0,Mystery,Good
1998,Broker 2,8.82454,17359,7.0,Comedy,Good
1998,Broker 2,8.82454,17359,7.0,Music,Good
2020,The Lighthouse,6.596057,21358,4.1,War,Poor
2020,The Lighthouse,6.596057,21358,4.1,Science Fiction,Poor
2006,Everything Everywhere All at Once 3,15.648142,1538,4.4,War,Poor
2006,Everything Everywhere All at Once 3,15.648142,1538,4.4,Animation,Poor
2006,Everything Everywhere All at Once 3,15.648142,1538,4.4,Fantasy,Poor
2017,Roma,3.037963,2986,7.1,Crime,Good
2002,The Zone of Interest,32.409672,19465,5.4,Horror,Below Average
2002,The Zone of Interest,32.409672,19465,5.4,Documentary,Below Average
2015,Barbie,1.549517,13298,4.9,Thriller,Poor
2015,Barbie,1.549517,13298,4.9,Adventure,Poor
2013,Nyad,86.682927,21263,6.6,Adventure,Average
2013,Nyad,86.682927,21263,6.6,War,Average
2018,Moonlight,29.589676,6397,4.9,Horror,Poor
2018,Moonlight,29.589676,6397,4.9,Western,Poor
2004,Call Me by Your Name 4,4.430789,2531,5.6,Horror,Below Average
1991,Riders of Justice,0.110748,6535,7.2,Documentary,Good
1991,Riders of Justice,0.110748,6535,7.2,Fantasy,Good
2004,Broker 3,33.797936,1136,4.4,War,Poor
2004,Broker 3,33.797936,1136,4.4,Animation,Poor
1990,Pain and Glory,24.541918,23026,4.6,War,Poor
1990,Pain and Glory,24.541918,23026,4.6,Western,Poor
1990,Pain and Glory,24.541918,23026,4.6,Mystery,Poor
1993,I'm Thinking of Ending Things 5,26.113258,13358,4.3,TV Movie,Poor
1993,I'm Thinking of Ending Things 5,26.113258,13358,4.3,Music,Poor
1992,Fight Club 3,29.504291,22167,5.2,Comedy,Below Average
2022,The Revenant,1.538585,7726,6.3,Western,Average
2021,Shang-Chi,8.877853,16112,5.5,Western,Below Average
1998,Bodies Bodies Bodies,2.463002,3414,8.0,TV Movie,Excellent
2020,The Lighthouse,39.770591,4502,6.7,Adventure,Average
2020,The Lighthouse,39.770591,4502,6.7,Science Fiction,Average
2020,Drive My Car,19.526024,2353,6.2,Animation,Average
2020,Drive My Car,19.526024,2353,6.2,History,Average
1996,Nomadland,8.036376,116,7.7,Action,Good
2017,Promising Young Woman,1.313361,15205,4.6,Family,Poor
2016,Ferrari,7.449767,13251,7.2,War,Good
2016,Ferrari,7.449767,13251,7.2,History,Good
1993,The Holdovers,7.866284,27163,5.9,War,Below Average
1996,Men,26.157516,19548,5.7,Documentary,Below Average
1996,Men,26.157516,19548,5.7,War,Below Average
1996,Men,26.157516,19548,5.7,Animation,Below Average
2011,The Two Popes,20.297787,29615,6.9,Action,Average
2011,The Two Popes,20.297787,29615,6.9,History,Average
2002,The Banshees of Inisherin,43.645038,12585,5.7,Documentary,Below Average
2002,The Banshees of Inisherin,43.645038,12585,5.7,History,Below Average
2018,Ahed's Knee 5,12.781323,20447,6.4,War,Average
2018,Ahed's Knee 5,12.781323,20447,6.4,Romance,Average
2001,Parasite 4,2.547448,4811,6.1,Drama,Average
2001,Parasite 4,2.547448,4811,6.1,Music,Average
2001,Parasite 4,2.547448,4811,6.1,Science Fiction,Average
2005,No Time to Die,24.982527,22533,6.6,Drama,Average
1996,David Byrne's American Utopia,28.607855,5590,5.6,Documentary,Below Average
1996,David Byrne's American Utopia,28.607855,5590,5.6,Thriller,Below Average
1990,Tár 5,16.47775,16608,7.3,Family,Good
2005,Call Me by Your Name 3,29.477799,5410,3.7,TV Movie,Very Poor
2021,The Dark Knight 5,13.616295,6885,7.0,Western,Good
2021,The Dark Knight 5,13.616295,6885,7.0,Action,Good
2021,The Dark Knight 5,13.616295,6885,7.0,Family,Good
2015,Carol,14.793577,29025,3.9,Horror,Very Poor
2015,Carol,14.793577,29025,3.9,History,Very Poor
2014,Fallen Leaves,11.156284,20683,5.3,Mystery,Below Average
2014,Fallen Leaves,11.156284,20683,5.3,TV Movie,Below Average
2006,The Quiet Girl,0.514955,20647,6.8,Family,Average
2006,The Quiet Girl,0.514955,20647,6.8,Documentary,Average
2017,Babylon 5,2.283349,8666,3.8,Adventure,Very Poor
2021,The Silence of the Lambs,0.638674,6257,6.4,Horror,Average
2021,The Silence of the Lambs,0.638674,6257,6.4,History,Average
2021,The Silence of the Lambs,0.638674,6257,6.4,Mystery,Average
2008,Spotlight,20.234591,6187,4.6,Romance,Poor
2008,Spotlight,20.234591,6187,4.6,Comedy,Poor
2008,Spotlight,20.234591,6187,4.6,Thriller,Poor
1993,One Night in Miami,7.547934,7279,5.0,Drama,Below Average
1993,One Night in Miami,7.547934,7279,5.0,Adventure,Below Average
1993,Midsommar 5,14.208744,14984,5.0,Western,Below Average
1993,Midsommar 5,14.208744,14984,5.0,Action,Below Average
2020,1917,47.625311,14047,4.6,Animation,Poor
2020,1917,47.625311,14047,4.6,TV Movie,Poor
2020,1917,47.625311,14047,4.6,Fantasy,Poor
2023,Return to Seoul 5,5.734776,18766,4.1,Science Fiction,Poor
2023,Return to Seoul 5,5.734776,18766,4.1,Romance,Poor
2022,Portrait of a Lady on Fire,10.565639,16177,8.7,Science Fiction,Excellent
2001,Saltburn,28.174983,23228,6.0,Western,Average
1994,Preparations to Be Together,5.196103,25177,4.7,Comedy,Poor
1994,Preparations to Be Together,5.196103,25177,4.7,Animation,Poor
2005,Hell or High Water,1.602086,10390,5.5,Drama,Below Average
2005,Supernova,6.842806,6627,6.2,Music,Average
2005,Supernova,6.842806,6627,6.2,Mystery,Average
2005,Supernova,6.842806,6627,6.2,Documentary,Average
1992,Inception,3.516167,21544,5.7,Thriller,Below Average
1992,Inception,3.516167,21544,5.7,Mystery,Below Average
2016,Shang-Chi,53.099002,25469,4.7,Animation,Poor
2023,Black Widow 5,33.017742,24496,5.1,Adventure,Below Average
2003,Showing Up,20.069884,20552,7.6,TV Movie,Good
2010,Spotlight,41.030395,24121,4.5,Music,Poor
2015,The Godfather,32.559379,21600,3.8,Western,Very Poor
2015,The Godfather,32.559379,21600,3.8,Horror,Very Poor
2009,News of the World,4.12991,313,5.7,Action,Below Average
2009,News of the World,4.12991,313,5.7,Western,Below Average
1994,Cold War,44.616268,29766,3.9,Fantasy,Very Poor
1996,Carol,15.501998,12693,5.1,Fantasy,Below Average
1996,Carol,15.501998,12693,5.1,Animation,Below Average
2003,Cold War 4,32.946966,16727,4.7,Romance,Poor
2003,Cold War 4,32.946966,16727,4.7,Mystery,Poor
1998,Forrest Gump 5,45.284853,11035,4.7,Family,Poor
1998,Forrest Gump 5,45.284853,11035,4.7,Adventure,Poor
1998,Forrest Gump 5,45.284853,11035,4.7,Music,Poor
2005,Knives Out,7.654614,20900,6.3,Science Fiction,Average
2005,Knives Out,7.654614,20900,6.3,Documentary,Average
2005,Knives Out,7.654614,20900,6.3,Thriller,Average
2000,Fallen Leaves 3,2.331843,18725,6.5,Romance,Average
2000,Fallen Leaves 3,2.331843,18725,6.5,Crime,Average
2009,Phantom Thread,5.173735,4571,5.2,Action,Below Average
2023,Spider-Man: No Way Home 2,11.141154,89,6.1,Comedy,Average
2009,No Time to Die 4,34.076595,3773,5.2,Horror,Below Average
2009,No Time to Die 4,34.076595,3773,5.2,War,Below Average
1998,Corsage,39.426899,27417,6.7,Documentary,Average
1998,Corsage,39.426899,27417,6.7,War,Average
1998,Corsage,39.426899,27417,6.7,Drama,Average
1996,Frozen 5,0.139528,21590,4.4,Action,Poor
1996,Frozen 5,0.139528,21590,4.4,Horror,Poor
1996,Frozen 5,0.139528,21590,4.4,Drama,Poor
1999,Spider-Man: Into the Spider-Verse 5,14.297523,10179,6.4,Action,Average
1999,Spider-Man: Into the Spider-Verse 5,14.297523,10179,6.4,Comedy,Average
2003,Call Me by Your Name,10.805466,17126,6.5,Family,Average
2003,Call Me by Your Name,10.805466,17126,6.5,Thriller,Average
2003,Call Me by Your Name,10.805466,17126,6.5,Mystery,Average
2003,Bardo,5.023347,3986,9.0,Action,Excellent
2003,Bardo,5.023347,3986,9.0,Science Fiction,Excellent
2003,Bardo,5.023347,3986,9.0,Documentary,Excellent
2006,Marriage Story,2.553608,26403,4.1,Drama,Poor
2006,Downsizing,8.238172,22053,9.4,Fantasy,Excellent
2017,Borat Subsequent Moviefilm,57.262422,17778,7.1,Drama,Good
2017,Borat Subsequent Moviefilm,57.262422,17778,7.1,Crime,Good
2017,Borat Subsequent Moviefilm,57.262422,17778,7.1,Family,Good
1990,Toy Story 4 4,7.807676,2134,8.4,Science Fiction,Excellent
1990,Toy Story 4 4,7.807676,2134,8.4,Thriller,Excellent
1990,Toy Story 4 4,7.807676,2134,8.4,Music,Excellent
1998,Ferrari,14.629056,6662,7.3,Thriller,Good
1998,Ferrari,14.629056,6662,7.3,Western,Good
2000,Saint Omer 3,24.28174,5293,5.1,Fantasy,Below Average
2000,Saint Omer 3,24.28174,5293,5.1,Mystery,Below Average
2000,Saint Omer 3,24.28174,5293,5.1,War,Below Average
2017,Joker 4,9.03949,7186,7.0,Horror,Good
2017,Joker 4,9.03949,7186,7.0,Drama,Good
2017,Joker 4,9.03949,7186,7.0,Documentary,Good
1997,The Boy and the Heron,71.355963,25784,5.4,Comedy,Below Average
1997,The Boy and the Heron,71.355963,25784,5.4,History,Below Average
1999,Marriage Story,65.640197,22999,6.1,History,Average
1999,Marriage Story,65.640197,22999,6.1,Crime,Average
1999,Marriage Story,65.640197,22999,6.1,Romance,Average
2013,The Avengers,5.801226,22101,4.8,War,Poor
2013,The Avengers,5.801226,22101,4.8,TV Movie,Poor
2013,The Avengers,5.801226,22101,4.8,Adventure,Poor
1999,Supernova,13.753186,18686,5.4,Science Fiction,Below Average
1999,Supernova,13.753186,18686,5.4,Music,Below Average
1992,Corsage,7.158609,12419,7.3,History,Good
1992,Corsage,7.158609,12419,7.3,Romance,Good
1992,All Quiet on the Western Front,6.704994,24770,6.7,TV Movie,Average
1992,All Quiet on the Western Front,6.704994,24770,6.7,Horror,Average
2005,Compartment No. 6 5,0.75169,12329,7.4,Science Fiction,Good
2005,Compartment No. 6 5,0.75169,12329,7.4,War,Good
2005,Compartment No. 6 5,0.75169,12329,7.4,Music,Good
2012,Bridge of Spies 4,18.809841,1007,4.5,History,Poor
2012,Bridge of Spies 4,18.809841,1007,4.5,Music,Poor
2016,Carol,13.970393,26572,4.0,Western,Poor
1999,The Wolf of Wall Street,1.057022,11011,7.5,Fantasy,Good
2000,Nomadland,6.532518,4674,7.4,Science Fiction,Good
1991,Shang-Chi,47.777219,18751,6.5,Family,Average
1991,Shang-Chi,47.777219,18751,6.5,Fantasy,Average
1991,Shang-Chi,47.777219,18751,6.5,Mystery,Average
2011,Midsommar 5,5.477211,21885,6.7,Crime,Average
2011,Midsommar 5,5.477211,21885,6.7,War,Average
2011,Midsommar 5,5.477211,21885,6.7,Music,Average
2005,Darkest Hour,3.130617,18073,7.2,Mystery,Good
1996,Origin,13.445442,13127,6.4,Crime,Average
1996,Origin,13.445442,13127,6.4,Documentary,Average
1992,Killers of the Flower Moon,84.88074,22109,6.8,TV Movie,Average
1992,Killers of the Flower Moon,84.88074,22109,6.8,Thriller,Average
1992,Killers of the Flower Moon,84.88074,22109,6.8,Drama,Average
2002,Herself 2,5.542896,11241,7.2,Comedy,Good
2002,Herself 2,5.542896,11241,7.2,Animation,Good
2009,Babylon,22.3031,29761,6.1,Science Fiction,Average
2009,Babylon,22.3031,29761,6.1,Thriller,Average
2009,Babylon,22.3031,29761,6.1,TV Movie,Average
1991,Crimes of the Future,28.677753,21280,5.8,Family,Below Average
1991,Crimes of the Future,28.677753,21280,5.8,Fantasy,Below Average
2015,Bohemian Rhapsody,5.426663,7450,6.7,Animation,Average
2015,Bohemian Rhapsody,5.426663,7450,6.7,Fantasy,Average
2015,Bohemian Rhapsody,5.426663,7450,6.7,History,Average
1994,Sick of Myself,26.054979,27097,8.9,Thriller,Excellent
1994,Sick of Myself,26.054979,27097,8.9,Western,Excellent
1994,Sick of Myself,26.054979,27097,8.9,Science Fiction,Excellent
2022,Weathering with You,9.170456,23215,5.2,Science Fiction,Below Average
2022,Weathering with You,9.170456,23215,5.2,Romance,Below Average
2011,Living 2,20.010075,19921,5.7,Western,Below Average
2006,The Martian,20.076757,11228,4.1,Animation,Poor
2006,The Martian,20.076757,11228,4.1,Action,Poor
2006,Supernova,15.347705,23207,6.7,Animation,Average
2017,American Fiction,1.892583,15618,5.6,War,Below Average
2017,American Fiction,1.892583,15618,5.6,Science Fiction,Below Average
2017,American Fiction,1.892583,15618,5.6,Documentary,Below Average
2010,The Irishman,36.072896,19139,4.5,Thriller,Poor
2010,The Irishman,36.072896,19139,4.5,Romance,Poor
2022,Passages 3,7.736206,29675,6.1,Romance,Average
2002,American Beauty,4.128642,28759,8.0,War,Excellent
2002,American Beauty,4.128642,28759,8.0,TV Movie,Excellent
2002,American Beauty,4.128642,28759,8.0,Western,Excellent
2017,Eternals,0.832595,27167,5.8,Mystery,Below Average
2017,Eternals,0.832595,27167,5.8,Science Fiction,Below Average
2017,Eternals,0.832595,27167,5.8,History,Below Average
2002,All of Us Strangers,17.875568,28789,5.9,Documentary,Below Average
2002,All of Us Strangers,17.875568,28789,5.9,Action,Below Average
2002,All of Us Strangers,17.875568,28789,5.9,Horror,Below Average
1994,Black Widow,22.637035,29978,7.9,Action,Good
1994,Black Widow,22.637035,29978,7.9,Horror,Good
1994,Black Widow,22.637035,29978,7.9,Thriller,Good
2010,Happening 5,0.334539,27397,6.2,History,Average
2010,Happening 5,0.334539,27397,6.2,Mystery,Average
2010,Happening 5,0.334539,27397,6.2,Documentary,Average
1997,Three Billboards Outside Ebbing Missouri 3,14.352612,4100,4.8,Animation,Poor
2022,Frozen,5.136483,22552,7.0,Drama,Good
2022,Frozen,5.136483,22552,7.0,Fantasy,Good
2016,The Whale 5,20.722487,24955,7.5,Horror,Good
2016,The Whale 5,20.722487,24955,7.5,Animation,Good
2008,Hillbilly Elegy,3.832084,7481,6.0,Mystery,Average
2008,Hillbilly Elegy,3.832084,7481,6.0,Horror,Average
2008,Hillbilly Elegy,3.832084,7481,6.0,Comedy,Average
2002,Never Rarely Sometimes Always,23.484251,3753,6.4,Family,Average
2002,Never Rarely Sometimes Always,23.484251,3753,6.4,Animation,Average
2014,Saint Omer,9.779174,10206,4.6,Animation,Poor
2001,Whiplash,55.206876,26289,5.2,Animation,Below Average
2001,Whiplash,55.206876,26289,5.2,Family,Below Average
2009,Forrest Gump,2.958888,7018,5.8,TV Movie,Below Average
2009,Forrest Gump,2.958888,7018,5.8,Crime,Below Average
2009,Forrest Gump,2.958888,7018,5.8,Western,Below Average
1990,Mank 3,8.342649,3334,6.3,Thriller,Average
1990,Mank 3,8.342649,3334,6.3,Adventure,Average
1990,Mank 3,8.342649,3334,6.3,Romance,Average
2003,Phantom Thread,2.408886,8642,5.5,TV Movie,Below Average
2003,Phantom Thread,2.408886,8642,5.5,Romance,Below Average
2003,Phantom Thread,2.408886,8642,5.5,Horror,Below Average
2010,Black Widow 3,51.723808,19651,5.8,Fantasy,Below Average
2018,The Quiet Girl,41.966674,27492,6.1,Romance,Average
2018,The Quiet Girl,41.966674,27492,6.1,Adventure,Average
2022,The Teachers' Lounge,5.966547,236,5.0,Thriller,Below Average
2000,The Father,21.575255,14873,5.9,Music,Below Average
2008,Showing Up 2,33.989681,16037,7.6,Family,Good
2008,Showing Up 2,33.989681,16037,7.6,Romance,Good
2008,Showing Up 2,33.989681,16037,7.6,Science Fiction,Good
2011,Babylon,16.202647,18795,5.5,Comedy,Below Average
2005,The Favourite,15.085588,4728,5.1,Horror,Below Average
2005,The Favourite,15.085588,4728,5.1,Music,Below Average
2005,The Favourite,15.085588,4728,5.1,Documentary,Below Average
2004,The Florida Project,5.537541,17418,8.7,Mystery,Excellent
1991,The Trial of the Chicago 7,1.954523,5682,6.5,Animation,Average
1991,The Trial of the Chicago 7,1.954523,5682,6.5,Crime,Average
2020,Men,45.502465,24121,5.3,Mystery,Below Average
2020,Men,45.502465,24121,5.3,Music,Below Average
1994,Black Panther: Wakanda Forever,46.135489,15272,7.0,Crime,Good
1994,Black Panther: Wakanda Forever,46.135489,15272,7.0,Music,Good
2002,Bardo 3,20.053398,28077,6.5,Thriller,Average
2002,Bardo 3,20.053398,28077,6.5,War,Average
2002,Bardo 3,20.053398,28077,6.5,Science Fiction,Average
2014,Time,8.28093,21674,5.5,Horror,Below Average
2005,"Quo Vadis, Aida?",8.591352,28842,6.1,Mystery,Average
1990,The Suicide Squad,25.889309,17264,5.9,Family,Below Average
1990,The Suicide Squad,25.889309,17264,5.9,Crime,Below Average
1990,The Suicide Squad,25.889309,17264,5.9,Action,Below Average
2017,Drive My Car 3,45.481947,3209,7.4,Documentary,Good
2023,The Zone of Interest,43.622651,18139,7.0,Comedy,Good
2023,The Zone of Interest,43.622651,18139,7.0,Animation,Good
2005,Sound of Metal,30.271244,5280,3.6,Animation,Very Poor
1998,The Fabelmans,20.546214,25029,8.5,Adventure,Excellent
1998,The Fabelmans,20.546214,25029,8.5,Western,Excellent
1998,The Fabelmans,20.546214,25029,8.5,Crime,Excellent
2023,Men 2,1.757835,22280,5.9,Fantasy,Below Average
2010,The Gentlemen,3.525884,21984,8.3,TV Movie,Excellent
2010,The Gentlemen,3.525884,21984,8.3,Adventure,Excellent
2010,The Gentlemen,3.525884,21984,8.3,War,Excellent
2022,Passages,45.76461,12760,7.1,War,Good
2022,Passages,45.76461,12760,7.1,Fantasy,Good
2022,Passages,45.76461,12760,7.1,Science Fiction,Good
2018,Inside the Yellow Cocoon Shell 5,18.649879,7907,6.5,Horror,Average
2018,Inside the Yellow Cocoon Shell 5,18.649879,7907,6.5,Western,Average
2018,Inside the Yellow Cocoon Shell 5,18.649879,7907,6.5,Music,Average
2020,Doctor Strange in the Multiverse of Madness,0.184792,8674,6.1,Thriller,Average
2020,Doctor Strange in the Multiverse of Madness,0.184792,8674,6.1,Family,Average
2005,Knives Out 5,2.139938,14902,9.5,Drama,Excellent
2005,Knives Out 5,2.139938,14902,9.5,Crime,Excellent
2023,Corsage,21.783248,8281,5.9,Documentary,Below Average
2023,Corsage,21.783248,8281,5.9,Family,Below Average
2023,Corsage,21.783248,8281,5.9,Animation,Below Average
2005,Pain and Glory,0.101489,5168,5.4,Crime,Below Average
1994,News of the World,3.506316,24825,5.5,Animation,Below Average
1994,News of the World,3.506316,24825,5.5,War,Below Average
1994,News of the World,3.506316,24825,5.5,Family,Below Average
2005,The Fabelmans 5,15.913957,12854,6.2,Mystery,Average
2005,The Fabelmans 5,15.913957,12854,6.2,Fantasy,Average
2010,Carol,23.546306,599,6.2,TV Movie,Average
2010,Carol,23.546306,599,6.2,Family,Average
2010,Carol,23.546306,599,6.2,Music,Average
1998,Time 3,21.10883,9562,7.4,TV Movie,Good
1998,Time 3,21.10883,9562,7.4,Action,Good
1998,Time 3,21.10883,9562,7.4,Western,Good
2014,Speak No Evil,5.078997,16277,7.1,Mystery,Good
2014,Speak No Evil,5.078997,16277,7.1,TV Movie,Good
2003,First Cow,24.908346,18278,7.1,Drama,Good
2003,First Cow,24.908346,18278,7.1,Crime,Good
2016,Glass Onion: A Knives Out Mystery,5.416475,16169,5.9,Science Fiction,Below Average
2016,Glass Onion: A Knives Out Mystery,5.416475,16169,5.9,Horror,Below Average
2016,Glass Onion: A Knives Out Mystery,5.416475,16169,5.9,TV Movie,Below Average
2019,Brooklyn 3,7.872698,14273,7.0,Horror,Good
2019,Brooklyn 3,7.872698,14273,7.0,Romance,Good
2003,Hillbilly Elegy,27.447151,5409,7.1,Thriller,Good
1991,Babylon,20.975476,29821,6.1,Drama,Average
2020,Monster 5,37.839122,26902,6.5,Adventure,Average
2020,Monster 5,37.839122,26902,6.5,Crime,Average
2009,Rocketman 5,21.436266,29016,7.1,History,Good
2009,Rocketman 5,21.436266,29016,7.1,Mystery,Good
